num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250207,2.2,1,2.5,1,537,9,6.9,1,1728,9,4.6,1,4.7,1,4.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250208,0,1,3.5,1,746,9,7.8,1,1232,9,5.9,1,5.7,1,4.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250209,1,1,3.9,1,705,9,8.4,1,1440,9,6,1,6.2,1,4.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250210,2.4,1,4.2,1,646,9,6.9,1,1553,9,5.1,1,5.6,1,2.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250211,0,1,1,1,735,9,9.1,1,1344,9,4.2,1,5.1,1,8.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250212,1.4,1,0.2,1,1845,9,4.4,1,1409,9,4,1,2.3,1,4.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250213,0,1,3.4,1,458,9,7.5,1,1031,9,4.5,1,5.5,1,4.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250214,0,1,-0.8,1,720,9,5.9,1,1314,9,1.7,1,2.6,1,6.7,1,,,,,376,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250215,0,1,-6,1,515,9,4.9,1,1414,9,-0.2,1,-0.6,1,10.9,1,,,,,693,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250216,0,1,-5.1,1,614,9,7,1,1407,9,1,1,1,1,12.1,1,,,,,501,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250217,0,1,-3.8,1,604,9,8.5,1,1401,9,1.1,1,2.4,1,12.3,1,,,,,770,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250218,0,1,-3.9,1,419,9,9.7,1,1506,9,2.9,1,2.9,1,13.6,1,,,,,469,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250219,0.2,1,-0.1,1,643,9,12.3,1,1235,9,5.8,1,6.1,1,12.4,1,,,,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250220,0,1,1.1,1,157,9,15.4,1,1547,9,9,1,8.3,1,14.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250221,1,1,6.1,1,706,9,17,1,1403,9,12,1,11.6,1,10.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250222,1.2,1,9,1,520,9,14.3,1,1306,9,9.8,1,11.7,1,5.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250223,0.2,1,-0.3,1,509,9,16.2,1,1507,9,7.6,1,8,1,16.5,1,,,,,149,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250224,1.8,1,6.7,1,2156,9,14.7,1,1321,9,10.7,1,10.7,1,8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250225,26.8,1,6.1,1,1758,9,9.7,1,1114,9,8,1,7.9,1,3.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250226,2.4,1,0.3,1,636,9,11.2,1,1230,9,6.3,1,5.8,1,10.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250302,0,1,-2.2,1,434,9,11.5,1,1411,9,4.2,1,4.7,1,13.7,1,,,,,280,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250228,0,1,0.7,1,2206,9,9.6,1,1203,9,5,1,5.2,1,8.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250227,0.2,1,-0.6,1,555,9,11.2,1,1508,9,4.7,1,5.3,1,11.8,1,,,,,126,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250301,0.2,1,0.6,1,646,9,9.7,1,1356,9,4.4,1,5.2,1,9.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250304,0.2,1,-2.8,1,54,9,13,1,1247,9,3.7,1,5.1,1,15.8,1,,,,,656,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250303,0,1,-4.8,1,634,9,13.7,1,1500,9,3.1,1,4.5,1,18.5,1,,,,,665,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250305,0,1,-3.7,1,548,9,19,1,1411,9,5.8,1,7.7,1,22.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250306,0,1,-2.8,1,630,9,19,1,1400,9,7.4,1,8.1,1,21.8,1,,,,,440,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250307,0,1,1,1,640,9,18.5,1,1445,9,8.7,1,9.8,1,17.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250308,0.2,1,0.2,1,427,9,19.8,1,1446,9,10.4,1,10,1,19.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250309,2.2,1,3.4,1,532,9,19.1,1,1412,9,10.6,1,11.3,1,15.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250310,1.2,1,7.8,1,237,9,13.8,1,1533,9,8.7,1,10.8,1,6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250311,0.2,1,0.7,1,119,9,15.4,1,1044,9,6.9,1,8.1,1,14.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250312,0.2,1,4,1,2103,9,7.7,1,1248,9,5.1,1,5.9,1,3.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250313,0.2,1,2.5,1,1934,9,9.6,1,1453,9,4.1,1,6.1,1,7.1,1,,,,,103,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250314,0.4,1,-3.7,1,611,9,8.7,1,1452,9,2.9,1,2.5,1,12.4,1,,,,,450,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250315,0.2,1,1.5,1,157,9,8.2,1,1407,9,4.5,1,4.9,1,6.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250316,0,1,3.5,1,602,9,9.5,1,1507,9,5.2,1,6.5,1,6,1,,,,,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250317,0,1,-3.4,1,617,9,12.4,1,1510,9,5.7,1,4.5,1,15.8,1,,,,,429,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250318,0,1,1.8,1,612,9,15.3,1,1553,9,6.8,1,8.6,1,13.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250319,0,1,-1.4,1,551,9,18.4,1,1354,9,8.6,1,8.5,1,19.8,1,,,,,203,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250320,0,1,-0.3,1,551,9,19.5,1,1207,9,10,1,9.6,1,19.8,1,,,,,74,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
